name,version,kind,type,main,module,hasExports,path
@babel/code-frame,7.27.1,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\code-frame
@babel/core,7.28.4,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\core
@babel/generator,7.28.3,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\generator
@babel/helper-compilation-targets,7.27.2,CJS,commonjs,./lib/index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helper-compilation-targets
@babel/helper-module-imports,7.27.1,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helper-module-imports
@babel/helper-module-transforms,7.28.3,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helper-module-transforms
@babel/helper-plugin-utils,7.27.1,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helper-plugin-utils
@babel/helper-string-parser,7.27.1,CJS,commonjs,./lib/index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helper-string-parser
@babel/helper-validator-identifier,7.27.1,CJS,commonjs,./lib/index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helper-validator-identifier
@babel/helper-validator-option,7.27.1,CJS,commonjs,./lib/index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helper-validator-option
@babel/helpers,7.28.4,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\helpers
@babel/parser,7.28.4,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\parser
@babel/plugin-transform-react-jsx-self,7.27.1,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\plugin-transform-react-jsx-self
@babel/plugin-transform-react-jsx-source,7.27.1,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\plugin-transform-react-jsx-source
@babel/template,7.27.2,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\template
@babel/traverse,7.28.4,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\traverse
@babel/types,7.28.4,CJS,commonjs,./lib/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\types
@date-io/core,3.2.0,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@date-io\core
@esbuild/win32-x64,0.21.5,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@esbuild\win32-x64
@eslint/js,8.57.0,CJS,,./src/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@eslint\js
@humanwhocodes/config-array,0.11.14,CJS,,api.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@humanwhocodes\config-array
@humanwhocodes/object-schema,2.0.3,CJS,,src/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@humanwhocodes\object-schema
@mui/core-downloads-tracker,5.18.0,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@mui\core-downloads-tracker
@mui/types,7.2.24,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@mui\types
@mui/types,7.4.6,CJS,commonjs,./index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@mui\x-date-pickers\node_modules\@mui\types
@mui/utils,7.3.2,CJS,commonjs,./index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\@mui\x-date-pickers\node_modules\@mui\utils
@nodelib/fs.scandir,2.1.5,CJS,,out/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@nodelib\fs.scandir
@nodelib/fs.stat,2.0.5,CJS,,out/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@nodelib\fs.stat
@nodelib/fs.walk,1.2.8,CJS,,out/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@nodelib\fs.walk
@rollup/rollup-win32-x64-msvc,4.50.1,CJS,,./rollup.win32-x64-msvc.node,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@rollup\rollup-win32-x64-msvc
@types/babel__core,7.20.5,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\babel__core
@types/babel__generator,7.27.0,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\babel__generator
@types/babel__template,7.4.4,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\babel__template
@types/babel__traverse,7.28.0,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\babel__traverse
@types/estree,1.0.8,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\estree
@types/hoist-non-react-statics,3.3.7,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\hoist-non-react-statics
@types/node,20.14.12,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\node
@types/parse-json,4.0.2,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\parse-json
@types/prop-types,15.7.15,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\prop-types
@types/react-beautiful-dnd,13.1.8,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\react-beautiful-dnd
@types/react-redux,7.1.34,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\react-redux
@types/react-transition-group,4.4.12,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\react-transition-group
@types/use-sync-external-store,0.0.6,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@types\use-sync-external-store
acorn-jsx,5.3.2,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\acorn-jsx
ajv,6.12.6,CJS,,lib/ajv.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\ajv
ansi-regex,5.0.1,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\ansi-regex
ansi-styles,4.3.0,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\ansi-styles
argparse,2.0.1,CJS,,argparse.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\argparse
array-union,2.1.0,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\array-union
asynckit,0.4.0,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\asynckit
babel-plugin-macros,3.1.0,CJS,,dist/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\babel-plugin-macros
balanced-match,1.0.2,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\balanced-match
brace-expansion,1.1.12,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@eslint\eslintrc\node_modules\brace-expansion
brace-expansion,2.0.2,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\brace-expansion
braces,3.0.3,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\braces
browserslist,4.25.4,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\browserslist
call-bind-apply-helpers,1.0.2,CJS,,index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\call-bind-apply-helpers
callsites,3.1.0,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\callsites
caniuse-lite,1.0.30001741,CJS,,dist/unpacker/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\caniuse-lite
chalk,4.1.2,CJS,,source,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\chalk
color-convert,2.0.1,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\color-convert
color-name,1.1.4,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\color-name
combined-stream,1.0.8,CJS,,./lib/combined_stream,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\combined-stream
concat-map,0.0.1,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\concat-map
convert-source-map,2.0.0,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\@babel\core\node_modules\convert-source-map
convert-source-map,1.9.0,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\convert-source-map
cosmiconfig,7.1.0,CJS,,dist/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\cosmiconfig
cross-fetch,4.0.0,CJS,,dist/node-ponyfill.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\cross-fetch
cross-spawn,7.0.6,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\cross-spawn
csstype,3.1.3,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\csstype
dayjs,1.11.13,CJS,,dayjs.min.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\dayjs
debug,4.4.1,CJS,,./src/index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\debug
deep-is,0.1.4,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\deep-is
delayed-stream,1.0.0,CJS,,./lib/delayed_stream,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\delayed-stream
dir-glob,3.0.1,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\dir-glob
doctrine,3.0.0,CJS,,lib/doctrine.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\doctrine
electron-to-chromium,1.5.214,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\electron-to-chromium
error-ex,1.3.2,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\error-ex
es-define-property,1.0.1,CJS,,index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\es-define-property
es-errors,1.3.0,CJS,,index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\es-errors
es-object-atoms,1.1.1,CJS,,index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\es-object-atoms
es-set-tostringtag,2.1.0,CJS,,index.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\es-set-tostringtag
esbuild,0.21.5,CJS,,lib/main.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\esbuild
escape-string-regexp,4.0.0,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\escape-string-regexp
eslint,8.57.0,CJS,,./lib/api.js,,true,C:\Dev\Projects\SayMyName\Frontend\node_modules\eslint
eslint-plugin-react-hooks,4.6.2,CJS,,,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\eslint-plugin-react-hooks
eslint-plugin-react-refresh,0.4.7,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\eslint-plugin-react-refresh
esrecurse,4.3.0,CJS,,esrecurse.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\esrecurse
estraverse,5.3.0,CJS,,estraverse.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\estraverse
esutils,2.0.3,CJS,,lib/utils.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\esutils
fast-deep-equal,3.1.3,CJS,,index.js,,false,C:\Dev\Projects\SayMyName\Frontend\node_modules\fast-deep-equal
